銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
13010,極洋,株式,プライム,水産・農林業,100,1949-05-16,
13050,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF,その他,nan,10,2001-07-13,
13060,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF,その他,nan,10,2001-07-13,
13080,上場インデックスファンドＴＯＰＩＸ,ETF,その他,nan,1,2002-01-09,
13090,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF,その他,nan,1,2013-07-16,
13110,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF,その他,nan,1,2002-04-03,
13190,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF,その他,nan,1000,1995-05-29,
13200,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF,その他,nan,1,2013-07-16,
13210,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF,その他,nan,1,2013-07-16,
13220,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF,その他,nan,1,2008-04-11,
13250,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF,その他,nan,10,2008-07-18,
13260,ＳＰＤＲゴールド・シェア,ETF,その他,nan,1,2008-06-30,
13280,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF,その他,nan,1,2013-07-16,
13290,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF,その他,nan,1,2001-09-05,
13300,上場インデックスファンド２２５,ETF,その他,nan,1,2001-07-13,
13320,ニッスイ,株式,プライム,水産・農林業,100,1949-05-16,
13330,Ｕｍｉｏｓ,株式,プライム,水産・農林業,100,2014-04-01,
13430,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF,その他,nan,10,2008-09-18,
13450,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF,その他,nan,1,2008-10-21,
13460,ＭＡＸＩＳ　日経２２５上場投信,ETF,その他,nan,1,2013-07-16,
13480,ＭＡＸＩＳ　トピックス上場投信,ETF,その他,nan,1,2009-05-15,
13490,ＡＢＦ汎アジア債券インデックス・ファンド,ETF,その他,nan,1,2009-06-19,
13560,ＴＯＰＩＸベア２倍上場投信,ETF,その他,nan,10,2014-05-29,
13570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF,その他,nan,1,2014-07-16,
13580,上場インデックスファンド日経レバレッジ指数,ETF,その他,nan,1,2014-08-26,
13600,日経平均ベア２倍上場投信,ETF,その他,nan,10,2014-11-11,
13640,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF,その他,nan,1,2014-12-02,
13650,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF,その他,nan,1,2015-01-06,
13660,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF,その他,nan,1,2015-01-06,
13670,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF,その他,nan,1,2015-01-06,
13680,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF,その他,nan,1,2015-01-06,
13690,Ｏｎｅ　ＥＴＦ　日経２２５,ETF,その他,nan,1,2015-01-15,
13750,ユキグニファクトリー,株式,プライム,水産・農林業,100,2020-09-17,
13760,カネコ種苗,株式,スタンダード,水産・農林業,100,2013-07-16,
13770,サカタのタネ,株式,プライム,水産・農林業,100,1987-05-11,
13790,ホクト,株式,プライム,水産・農林業,100,1999-11-29,
13800,秋川牧園,株式,スタンダード,水産・農林業,100,2013-07-16,
